date_dt,mean_red,mean_nir,days
2000-02-24,,,54
2000-02-25,,,55
2000-02-26,0.4786898579488027,0.4659791241707553,56
2000-02-27,0.516250032159068,0.5046614293327454,57
2000-02-28,0.5395422937684913,0.5270982229817887,58
2000-02-29,0.4652737563629013,0.4441328996453314,59
2000-03-01,0.3778879578073029,0.3630498741202197,60
2000-03-02,0.3690114302515758,0.3469910873440284,61
2000-03-03,0.359543800650532,0.344624731242075,62
2000-03-04,0.3765293382582648,0.3575474575959718,63
2000-03-05,0.4153946009519084,0.3998699487292574,64
2000-03-06,0.3688005586489516,0.347995681496591,65
2000-03-07,0.3704300310564713,0.3525471819468181,66
2000-03-08,0.3475785324439053,0.3250436076961243,67
2000-03-09,,,68
2000-03-10,0.3759547016557324,0.3612828160317546,69
2000-03-11,0.5533782052557241,0.5477879408780759,70
2000-03-12,0.4388071926052519,0.419768748736608,71
2000-03-13,0.5074526710402999,0.4923442122866014,72
2000-03-14,0.5062849109653232,0.4837107337780472,73
2000-03-15,0.6115309370233566,0.5802282374993107,74
2000-03-16,0.5779079515592552,0.5442510244960214,75
2000-03-17,0.4919616663910173,0.4686999467078303,76
2000-03-18,0.5665060694101726,0.550480239592454,77
2000-03-19,0.4457189297462188,0.4306215520885018,78
2000-03-20,0.5205428266901887,0.5035680945292831,79
2000-03-21,0.4400580700883915,0.4251470128820038,80
2000-03-22,0.4732722311042505,0.4609371519929432,81
2000-03-23,0.5168870757300109,0.5062285315250747,82
2000-03-24,0.5201123913482918,0.5154690078468126,83
2000-03-25,0.602717842774818,0.5794450364249212,84
2000-03-26,0.5639314368671554,0.5377544701104434,85
2000-03-27,0.5598040469919312,0.5548622015970568,86
2000-03-28,,,87
2000-03-29,0.5920373596486391,0.5581320359446498,88
2000-03-30,0.5163020747192972,0.4792059099178564,89
2000-03-31,0.4704115074333387,0.4390715033904846,90
2000-04-01,0.4311778672106143,0.408093334803462,91
2000-04-02,0.3299995038315232,0.3196431078523255,92
2000-04-03,0.3177789845085175,0.3002886046639836,93
2000-04-04,0.2761702960471911,0.2615962658727971,94
2000-04-05,0.2483382950181009,0.218008949409192,95
2000-04-06,0.2695013506808533,0.2430556076226179,96
2000-04-07,0.256048275355128,0.2307942554716356,97
2000-04-08,0.271614311704063,0.2525896870463274,98
2000-04-09,0.2136125291728687,0.2028798904754028,99
2000-04-10,0.4842980261872192,0.4726191616181357,100
2000-04-11,0.5405327425842131,0.5373894544997485,101
2000-04-12,0.4304477461087527,0.4225994450263705,102
2000-04-13,0.3412697003329634,0.3336304106548279,103
2000-04-14,0.2839428119889005,0.2605067717808772,104
2000-04-15,0.4516693312751529,0.4406655089402209,105
2000-04-16,0.4555731523378581,0.4393009911656969,106
2000-04-17,0.4200511972361577,0.4033267728834738,107
2000-04-18,0.3884616204494919,0.3759329805024165,108
2000-04-19,0.3403666685043277,0.324220537699616,109
2000-04-20,0.3140536045721006,0.3029662789201904,110
2000-04-21,0.4228849807964423,0.4010022786996709,111
2000-04-22,0.3502382895051179,0.3335198559273755,112
2000-04-23,0.4060462539280005,0.3935671940753809,113
2000-04-24,0.5143268647665252,0.4905127074259882,114
2000-04-25,0.3971095613503131,0.3819867872172298,115
2000-04-26,,,116
2000-04-27,,,117
2000-04-28,,,118
2000-04-29,,,119
2000-04-30,0.2831870922689601,0.2614290387195177,120
2000-05-01,0.4750616167741697,0.4627088409871914,121
2000-05-02,0.3884782145285479,0.3765293198816546,122
2000-05-03,0.3180597607365344,0.3015270228053732,123
2000-05-04,0.2435317455942076,0.2256364555194147,124
2000-05-05,0.2676443942150431,0.2444732895970009,125
2000-05-06,0.4891076685594576,0.4617227704577613,126
2000-05-07,0.4885657974530017,0.4656569454398441,127
2000-05-08,0.3389431611444953,0.315964496388996,128
2000-05-09,0.3622951467372328,0.3330624804748515,129
2000-05-10,0.3796620173842733,0.3639173420070934,130
2000-05-11,0.2803808368708307,0.2616920815186431,131
2000-05-12,0.242311667309848,0.2128474925115313,132
2000-05-13,0.2408263042799125,0.2246278920190381,133
2000-05-14,0.2102967217503468,0.1856025700309085,134
2000-05-15,0.2729901133836852,0.2610282999797857,135
2000-05-16,0.4617178639028242,0.4571699101383759,136
2000-05-17,0.3100088391495304,0.2993972288071743,137
2000-05-18,0.2111915394086406,0.1911233621846114,138
2000-05-19,0.2314496940294393,0.2080517669110755,139
2000-05-20,0.5442472021610893,0.5380296047191135,140
2000-05-21,0.4430735799474428,0.4393825275189737,141
2000-05-22,0.5453352077475788,0.53394351030009,142
2000-05-23,0.3037270889611702,0.2798897035852766,143
2000-05-24,0.2887000569674917,0.2787194259146957,144
2000-05-25,0.2324814304353419,0.2097833213885366,145
2000-05-26,0.4352090890714298,0.4228184758439457,146
2000-05-27,0.30747909660584,0.3022772295422387,147
2000-05-28,0.4831650035834389,0.477858334711579,148
2000-05-29,,,149
2000-05-30,0.4940345261527539,0.4926602562034139,150
2000-05-31,0.4093038021206608,0.3960178988183839,151
2000-06-01,0.1920289982909752,0.1628645460058437,152
2000-06-02,0.2200980024624657,0.2098994983185401,153
2000-06-03,0.2409703952808865,0.2200479813293639,154
2000-06-04,0.3185721741367587,0.31167646139993,155
2000-06-05,0.2475747836154143,0.2302460260580333,156
2000-06-06,0.5204972419891364,0.5149119120805086,157
2000-06-07,0.5911831920694978,0.5667006404430259,158
2000-06-08,0.5087066357939614,0.4868594556848043,159
2000-06-09,0.47951064924564,0.4667147398790821,160
2000-06-10,0.3697772203539334,0.3567582924453755,161
2000-06-11,0.4050235036845102,0.3888118970174761,162
