date,ice_fraction
20130408,1.0
20130415,1.0
20130501,1.0
20130922,0.00109705356986616
20131008,1.1243237523313184E-4
20131024,0.005514104778353485
20131125,0.01076790579223754
20131211,0.10471854730846812
20131227,0.08283584349205772
20140112,0.9998214705299677
20140128,1.0
20140213,1.0
20140317,1.0
20140402,1.0
20140418,1.0
20140520,0.996534620406667
20140605,0.5570154961204119
20141011,5.4227065918950367E-5
20141027,0.1418013085001093
20141112,0.009657582028479144
20141128,0.005698846451512154
20141230,0.9996510074743514
20150115,1.0
20150131,1.0
20150216,1.0
20150320,1.0
20150405,1.0
20150421,1.0
20150608,0.9987987202412196
20150928,0.0
20151014,0.0
20151115,0.0072605974513538845
20151201,0.002089796904841341
20151217,0.0012223532457073822
20160102,0.07470591541605447
20160118,0.2077646838481367
20160203,0.5835030513954533
20160322,1.0
20160930,0.0015766798056650471
20161016,0.00839512920094818
20161101,4.998924473825325E-5
20161117,3.092988489664263E-4
20161203,0.001253736300232481
20161219,0.004229449636173927
20170104,0.5099672463105446
20170120,0.9996511224878263
20170221,0.9995383420505217
20170325,1.0
20170410,1.0
20170426,0.9997189957470005
20170613,7.758025684363844E-4
20170917,0.0
20171019,2.2728719100306394E-5
20171104,0.003346739864368962
20171120,0.010417132525348042
20171222,0.0
20180107,0.9775611117210087
20180123,0.15982906467960983
20180208,1.0
20180224,1.0
20180328,1.0
20180413,1.0
20181006,0.0
20181022,1.9793553239709827E-5
20181107,2.3952812958471802E-5
20181123,0.002157114485492708
20181209,0.24029720841070304
20181225,0.9883247918001281
20190110,1.0
20190331,1.0
20190416,1.0
20191009,0.03191319643719195
20191025,2.6607816437369906E-4
20191110,0.018687272537048005
20191126,0.008957082034516844
20191228,0.9299965616045844
20200113,0.9999318152374762
20200214,1.0
20200317,1.0
20200402,1.0
20201011,0.0
20201027,0.0
20201112,0.009084574013463687
20201128,0.0038862195939934016
20201230,0.07046888442787495
20210131,0.48052606334788056
20210216,1.0
20210304,0.983227098002961
20210405,1.0
20210523,1.0
20211014,0.0
20211030,0.00592241668753108
20211115,0.00421479111006723
20211201,0.03712834650039781
20220102,1.0
20220118,1.0
20220219,1.0
20220323,1.0
20220408,1.0
20220424,1.0
20221017,0.00848732975195908
20221102,0.007526383377265408
20221118,0.041438209456221335
20221204,0.03881437273836553
20221220,0.04664944572241177
20230105,0.13112531473949254
20230121,0.8239604392142179
20230206,1.0
20230222,0.9328316757096947
20230310,1.0
20230411,1.0
20230513,1.0
20230529,0.9991891297488024
20231020,0.008381615855060474
20231105,0.0025060828589987777
20231121,0.0022268629086629114
20240108,0.9995430261157684
20240124,0.9961994915165306
20240209,0.980506868895041
20240225,1.0
20240312,1.0
20240413,1.0
20240429,0.36429799374650573
20240531,2.5217591792034125E-5
20241022,0.0025037126927969213
20241107,6.303633414300006E-5
20241123,0.0034061290577363556
20241209,0.0
20241225,0.976637336972652
